Έχω συμμετάσχει σε % συναντήσεις,Οι συναντήσεις της ομάδας μου αρέσουν,Ο αρχικός μου ενθουσιασμός για την ομάδα έχει μειωθεί,Ο τρόπος που λειτουργούν οι συναντήσεις μου ταιριάζει,Σχόλια σχετικά με τη λειτουργία των συναντήσεων,Το περιεχόμενο των συναντήσεων είναι κατώτερο των προσδοκιών μου ,Δυσκολεύομαι να ακολουθήσω τη ροή των συναντήσεων ,Αφιερώνω χρόνο πέρα από τις συναντήσεις για μελέτη/αναζήτηση γύρω από τη μηχανική μάθηση,Προτιμώ Θεωρία ή Πράξη,"Νιώθω πως η ομάδα ""τρέχει"" γρηγορότερα από εμένα",Έχω αποκτήσει νέες γνώσεις μέσα από τις συναντήσεις,Θα άλλαζα στο περιεχόμενο των συναντήσεων,Προτάσεις για αλλαγές στο περιεχόμενο των συναντήσεων,Νιώθω ότι είμαι απλός παρατηρητής της ομάδας και όχι μέλος,Νιώθω άνετα να εκφράσω τις απορίες μου κατά τη διάρκεια της συνάντησης,Πιστεύω πως μέσα από την ομάδα θα αποκτήσω τα κατάλληλα εφόδια και γνώσεις γύρω από τον τομέα της μηχανικής μάθησης,Πιστεύω πως γίνεται σωστή οργάνωση της ομάδας/συναντήσεων,Άλλα σχόλια,Θα συνεχίσω να συμμετέχω στις συναντήσεις
100,4,4,4,0,1,1,3,5,1,3,1,0,3,4,3,4,0,5
80,4,2,4,0,1,3,3,5,3,3,3,0,4,2,3,4,0,4
100,4,1,4,0,1,2,3,3,3,4,2,0,3,5,4,4,0,5
100,3,3,3,0,3,3,4,4,3,4,4,1,4,3,2,3,0,3
100,4,1,5,0,1,1,5,5,1,3,2,0,1,4,5,5,0,5
100,4,3,5,0,1,1,1,2,1,2,2,0,1,5,4,4,1,5
80,4,1,5,0,1,3,2,2,3,3,2,0,4,5,3,4,0,3
80,5,2,4,0,1,4,1,3,5,3,1,0,3,4,2,5,1,3
100,5,2,4,1,1,1,5,3,1,4,2,1,1,5,5,4,1,5
80,4,1,4,1,1,1,5,5,1,3,2,0,2,5,4,4,1,4
50,4,2,5,0,1,1,3,5,4,2,1,0,1,5,4,5,1,2
75,2,5,3,0,2,5,3,3,4,4,3,0,4,3,3,4,0,2
75,3,4,2,0,1,4,2,5,3,4,2,0,4,5,2,3,0,3
80,4,2,4,1,1,4,1,5,5,3,3,1,4,5,4,5,1,4
80,5,1,5,0,1,1,3,4,2,3,1,1,2,4,4,5,0,5
75,5,1,4,0,2,1,2,5,3,3,2,0,1,3,5,5,0,5
100,5,2,5,0,1,1,2,5,2,5,1,0,1,5,5,5,0,5
80,4,2,3,0,1,3,2,3,4,4,2,0,2,2,4,4,0,4
100,4,2,5,0,3,2,3,3,2,4,2,0,2,5,3,4,1,5
100,5,1,5,1,1,2,4,4,2,4,1,1,1,5,4,5,1,5
100,4,2,4,0,1,2,3,3,2,4,2,0,3,4,4,4,0,5
80,4,1,4,0,1,1,2,3,3,5,1,0,4,5,5,5,0,5
100,4,2,4,1,1,2,3,3,3,4,3,1,5,3,4,4,0,4
50,4,1,4,1,1,3,2,5,4,2,2,1,3,5,5,4,0,5
80,4,2,4,0,1,1,3,5,3,3,1,0,1,3,4,4,1,4
50,4,2,4,0,1,3,2,4,3,3,1,0,4,2,3,4,0,3
50,3,1,3,1,2,4,2,3,3,3,2,0,3,4,4,4,0,4
100,3,3,2,1,2,3,3,4,4,3,2,0,4,2,4,3,0,4
50,3,3,2,0,2,2,3,5,3,3,3,0,4,3,2,4,0,3
50,3,3,2,1,2,4,2,4,4,2,3,1,3,4,3,4,0,2
100,5,1,5,1,1,3,1,3,3,3,1,0,3,5,3,5,1,5
100,5,1,5,0,1,1,3,4,1,3,1,0,4,4,4,5,0,5
80,5,1,5,0,1,1,4,4,3,4,1,0,1,5,4,4,0,5
